inv_date,inv_total,Forecast(inv_total),Lower Confidence Bound(inv_total),Upper Confidence Bound(inv_total),,Statistic,Value
7/6/2013 0:00,938.035,,,,,,
7/7/2013 0:00,602.35,,,,,,
7/8/2013 0:00,254.73,,,,,,
7/9/2013 0:00,991.4,,,,,,
7/10/2013 0:00,661.7,,,,,,
7/11/2013 0:00,350.43,,,,,,
7/12/2013 0:00,816.37,,,,,,
7/13/2013 0:00,1179.1,,,,,,
7/14/2013 0:00,705.76,,,,,,
7/15/2013 0:00,839.25,,,,,,
7/16/2013 0:00,735.01,,,,,,
7/17/2013 0:00,839.52,,,,,,
7/18/2013 0:00,1530.55,,,,,,
7/19/2013 0:00,333.49,,,,,,
7/20/2013 0:00,698.75,,,,,,
7/21/2013 0:00,699.07,,,,,,
7/22/2013 0:00,421.78,,,,,,
7/23/2013 0:00,738.13,,,,,,
7/24/2013 0:00,920.44,,,,,,
7/25/2013 0:00,325.1,,,,,,
7/26/2013 0:00,405.69,,,,,,
7/27/2013 0:00,192.44,,,,,,
7/28/2013 0:00,149.31,,,,,,
7/29/2013 0:00,341.52,,,,,,
7/30/2013 0:00,758.86,,,,,,
7/31/2013 0:00,742.73,,,,,,
8/1/2013 0:00,535.93,,,,,,
8/2/2013 0:00,332.6,,,,,,
8/3/2013 0:00,365.01,,,,,,
8/4/2013 0:00,1626.35,,,,,,
8/5/2013 0:00,604.5,,,,,,
8/6/2013 0:00,287.23,,,,,,
8/7/2013 0:00,1008.92,,,,,,
8/8/2013 0:00,848.46,,,,,,
8/9/2013 0:00,813.81,,,,,,
8/10/2013 0:00,1292.19,,,,,,
8/11/2013 0:00,436.91,,,,,,
8/12/2013 0:00,1367.92,,,,,,
8/13/2013 0:00,802.42,,,,,,
8/14/2013 0:00,1050.95,,,,,,
8/15/2013 0:00,672.03,,,,,,
8/16/2013 0:00,235.07,,,,,,
8/17/2013 0:00,264.32,,,,,,
8/18/2013 0:00,1714.96,,,,,,
8/19/2013 0:00,1053.18,,,,,,
8/20/2013 0:00,1822.52,,,,,,
8/21/2013 0:00,620.85,,,,,,
8/22/2013 0:00,456.82,,,,,,
8/23/2013 0:00,777.43,,,,,,
8/24/2013 0:00,485.01,,,,,,
8/25/2013 0:00,1266.75,,,,,,
8/26/2013 0:00,1051.51,,,,,,
8/27/2013 0:00,646.15,,,,,,
8/28/2013 0:00,950.77,,,,,,
8/29/2013 0:00,1014.29,,,,,,
8/30/2013 0:00,515.18,,,,,,
8/31/2013 0:00,315.44,,,,,,
9/1/2013 0:00,1071.91,,,,,,
9/2/2013 0:00,849.66,,,,,,
9/3/2013 0:00,656.41,,,,,,
9/4/2013 0:00,1061.28,,,,,,
9/5/2013 0:00,839.1,,,,,,
9/6/2013 0:00,900.67,,,,,,
9/7/2013 0:00,1009.03,,,,,,
9/8/2013 0:00,663.26,,,,,,
9/9/2013 0:00,1136.27,,,,,,
9/10/2013 0:00,966.19,,,,,,
9/11/2013 0:00,1365.94,,,,,,
9/12/2013 0:00,998.52,,,,,,
9/13/2013 0:00,1276.49,,,,,,
9/14/2013 0:00,477.11,,,,,,
9/15/2013 0:00,1204.88,,,,,,
9/16/2013 0:00,1055.88,,,,,,
9/17/2013 0:00,1768.98,,,,,,
9/18/2013 0:00,379.93,,,,,,
9/19/2013 0:00,482.21,,,,,,
9/20/2013 0:00,1513.25,,,,,,
9/21/2013 0:00,1230.54,,,,,,
9/22/2013 0:00,1092.6,,,,,,
9/23/2013 0:00,93.92,,,,,,
9/24/2013 0:00,659.22,,,,,,
9/25/2013 0:00,1721.65,,,,,,
9/26/2013 0:00,1160.99,,,,,,
9/27/2013 0:00,1763.83,,,,,,
9/28/2013 0:00,617.19,,,,,,
9/29/2013 0:00,1669.21,,,,,,
9/30/2013 0:00,1388.61,,,,,,
10/1/2013 0:00,1297.82,,,,,,
10/2/2013 0:00,756.01,,,,,,
10/3/2013 0:00,1099.98,,,,,,
10/4/2013 0:00,627.92,,,,,,
10/5/2013 0:00,939.95,,,,,,
10/6/2013 0:00,1514.35,,,,,,
10/7/2013 0:00,1928.49,,,,,,
10/8/2013 0:00,1313.71,,,,,,
10/9/2013 0:00,2078.61,,,,,,
10/10/2013 0:00,428.17,,,,,,
10/11/2013 0:00,1936.48,,,,,,
10/12/2013 0:00,803.58,,,,,,
10/13/2013 0:00,1565.46,,,,,,
10/14/2013 0:00,1292.44,,,,,,
10/15/2013 0:00,1035.39,,,,,,
10/16/2013 0:00,2655.01,,,,,,
10/17/2013 0:00,1165.68,,,,,,
10/18/2013 0:00,1434.07,,,,,,
10/19/2013 0:00,1158.34,,,,,,
10/20/2013 0:00,1282.89,,,,,,
10/21/2013 0:00,564.38,,,,,,
10/22/2013 0:00,1124.15,,,,,,
10/23/2013 0:00,950.58,,,,,,
10/24/2013 0:00,1647.28,,,,,,
10/25/2013 0:00,637.81,,,,,,
10/26/2013 0:00,1337.25,,,,,,
10/27/2013 0:00,742.17,,,,,,
10/28/2013 0:00,1247.69,,,,,,
10/29/2013 0:00,1004.44,,,,,,
10/30/2013 0:00,892.46,,,,,,
10/31/2013 0:00,1522.63,,,,,,
11/1/2013 0:00,1210.5,,,,,,
11/2/2013 0:00,1204.57,,,,,,
11/3/2013 0:00,725.2,,,,,,
11/4/2013 0:00,3291.18,,,,,,
11/5/2013 0:00,2803.37,,,,,,
11/6/2013 0:00,1463.64,,,,,,
11/7/2013 0:00,1030.86,,,,,,
11/8/2013 0:00,1753.41,,,,,,
11/9/2013 0:00,1507.17,,,,,,
11/10/2013 0:00,1547.33,,,,,,
11/11/2013 0:00,1111.05,,,,,,
11/12/2013 0:00,2554.45,,,,,,
11/13/2013 0:00,2059.58,,,,,,
11/14/2013 0:00,1735.79,,,,,,
11/15/2013 0:00,1703.33,,,,,,
11/16/2013 0:00,1412.09,,,,,,
11/17/2013 0:00,2615.34,,,,,,
11/18/2013 0:00,839.85,,,,,,
11/19/2013 0:00,1278.96,,,,,,
11/20/2013 0:00,1896.01,,,,,,
11/21/2013 0:00,1650.33,,,,,,
11/22/2013 0:00,1941.09,,,,,,
11/23/2013 0:00,1009.97,,,,,,
11/24/2013 0:00,964.43,,,,,,
11/25/2013 0:00,1642.17,,,,,,
11/26/2013 0:00,1280.63,,,,,,
11/27/2013 0:00,1034.84,,,,,,
11/28/2013 0:00,1592.61,,,,,,
11/29/2013 0:00,909.01,,,,,,
11/30/2013 0:00,862.73,,,,,,
12/1/2013 0:00,941.81,,,,,,
12/2/2013 0:00,1906.03,,,,,,
12/3/2013 0:00,1806.96,,,,,,
12/4/2013 0:00,1270.37,,,,,,
12/5/2013 0:00,1234.04,,,,,,
